"date","zoneCode","xPosition","meanVolZone"
2009-12-01,1,1,11.4748951048951
2009-12-01,2,2,NA
2009-12-01,3,3,10.2425641025641
2009-12-01,4,4,13.0219811320755
2009-12-01,5,5,12.8074479166667
2009-12-01,6,6,17.4057522123894
2010-06-01,1,9,16.0513253012048
2010-06-01,2,10,29.1587254901961
2010-06-01,3,11,13.9769920844327
2010-06-01,4,12,17.6984489795918
2010-06-01,5,13,12.0404587155963
2010-06-01,6,14,27.842798573975
2010-12-01,1,17,18.1011728395062
2010-12-01,2,18,29.9445192307692
2010-12-01,3,19,25.7818108108108
2010-12-01,4,20,18.5681882022472
2010-12-01,5,21,11.5706168831169
2010-12-01,6,22,28.5299224806202
2011-06-01,1,25,17.4291666666667
2011-06-01,2,26,28.3928235294118
2011-06-01,3,27,27.9366197183099
2011-06-01,4,28,18.3974015748032
2011-06-01,5,29,15.4379
2011-06-01,6,30,23.1544210526316
2011-12-01,1,33,15.6217073170732
2011-12-01,2,34,26.0610843373494
2011-12-01,3,35,28.9544444444444
2011-12-01,4,36,16.031968503937
2011-12-01,5,37,15.1257142857143
2011-12-01,6,38,21.1444186046512
2012-06-01,1,41,14.9861194029851
2012-06-01,2,42,17.9625
2012-06-01,3,43,32.66
2012-06-01,4,44,15.0040816326531
2012-06-01,5,45,15.4791836734694
2012-06-01,6,46,21.0956818181818
2012-12-01,1,49,22.4253571428571
2012-12-01,2,50,19.0659803921569
2012-12-01,3,51,15.0594047619048
2012-12-01,4,52,13.43696
2012-12-01,5,53,17.2513675213675
2012-12-01,6,54,16.155
