"state","zoneCode","boxPosition","yPosition"
"Ekiti",1,1,1
"Lagos",1,1,2
"Ogun",1,1,3
"Ondo",1,1,4
"Osun",1,1,5
"Oyo",1,1,6
"Akwa Ibom",2,3,9
"Bayelsa",2,3,10
"Cross River",2,3,11
"Delta",2,3,12
"Edo",2,3,13
"Rivers",2,3,14
"Abia",3,5,17
"Anambra",3,5,18
"Ebonyi",3,5,19
"Enugu",3,5,20
"Imo",3,5,21
"Jigawa",4,7,24
"Kaduna",4,7,25
"Kano",4,7,26
"Katsina",4,7,27
"Kebbi",4,7,28
"Sokoto",4,7,29
"Zamfara",4,7,30
"Benue",5,9,33
"FCT",5,9,34
"Kogi",5,9,35
"Kwara",5,9,36
"Nasarawa",5,9,37
"Niger",5,9,38
"Plateau",5,9,39
"Adamawa",6,11,42
"Bauchi",6,11,43
"Borno",6,11,44
"Gombe",6,11,45
"Taraba",6,11,46
"Yobe",6,11,47
